ts,matu,Spot,Fwd,PutOrCall,StrikePrice,ContractMultiplier,ExerciseStyle,bid,ask,sigma,Spread,price,delta,vega,gamma,theta,adjust,calib_ok,Timestamp_txt,Maturity
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4350,10,European,301.5,303.5,20.38738659,0.643293664,302.5094893,0.946749341,0.933027552,0.000306275,-0.54932381,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4350,10,European,3.7,4,20.38738659,0.643293664,3.874370237,-0.048424414,0.933027552,0.000306275,-0.54932381,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4375,10,European,277.2,279.3,19.63634534,0.643293664,278.2384122,0.93763755,1.069710389,0.000384884,-0.640389392,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4375,10,European,4.4,4.7,19.63634534,0.643293664,4.559371838,-0.057536205,1.069710389,0.000384884,-0.640389392,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4400,10,European,253.2,255.2,18.90794558,0.643293664,254.149098,0.926236146,1.231365559,0.000484932,-0.748105228,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4400,10,European,5.3,5.5,18.90794558,0.643293664,5.426136216,-0.068937609,1.231365559,0.000484932,-0.748105228,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4425,10,European,229.3,231.3,18.20182698,0.643293664,230.2953597,0.911938925,1.421287959,0.000611803,-0.874651257,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4425,10,European,6.4,6.7,18.20182698,0.643293664,6.528476621,-0.08323483,1.421287959,0.000611803,-0.874651257,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Call,4450,10,European,205.9,207.8,17.51763652,0.643293664,206.7475093,0.893997243,1.642175867,0.000771619,-1.021756414,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
31/01/2024 16:00,20240216,4663.5,4648.228796,Put,4450,10,European,7.8,8.1,17.51763652,0.643293664,7.936704888,-0.101176511,1.642175867,0.000771619,-1.021756414,0,TRUE,31/01/2024 16:00,16/02/2024 16:00
