ts,matu,Spot,Fwd,PutOrCall,StrikePrice,ContractMultiplier,ExerciseStyle,bid,ask,sigma,Spread,price,delta,vega,gamma,theta,adjust,calib_ok,Timestamp_txt
31/01/2024 08:05,20240216,4685.5,4670.356985,Put,4550,10,European,12.9,13.6,14.56409,1.493970761,13.24543346,-0.177624342,2.424472332,0.00155064,-1.43271281,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4575,10,European,110.9,115.2,13.99291944,1.493970761,113.0614263,0.772965529,2.774042514,0.001960231,-1.671880352,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Put,4575,10,European,16.6,17.4,13.99291944,1.493970761,16.95621457,-0.222246851,2.774042514,0.001960231,-1.671880352,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4600,10,European,91.1,95.1,13.50931677,1.493970761,93.14823069,0.717209231,3.123335665,0.002411279,-1.916882869,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Put,4600,10,European,21.4,22.5,13.50931677,1.493970761,21.99909764,-0.278003148,3.123335665,0.002411279,-1.916882869,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4625,10,European,73.2,76.6,13.11187624,1.493970761,74.91423153,0.650160663,3.428750339,0.002841324,-2.12780488,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Put,4625,10,European,27.9,29.3,13.11187624,1.493970761,28.72117714,-0.345051716,3.428750339,0.002841324,-2.12780488,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4650,10,European,57.2,59.8,12.79921971,1.493970761,58.69681938,0.573284649,3.638270375,0.003180206,-2.269360733,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Put,4650,10,European,36.5,38.1,12.79921971,1.493970761,37.45984364,-0.421927731,3.638270375,0.003180206,-2.269360733,0,TRUE,"01/31/2024, 08:05:00"
31/01/2024 08:05,20240216,4685.5,4670.356985,Call,4675,10,European,43.6,45.6,12.56999605,1.493970761,44.76326415,0.489936434,3.705104518,0.003357807,-2.311039735,0,TRUE,"01/31/2024, 08:05:00"
