,Instrument,Date,Maturity,PUTCALLIND,Strike,Close,Imp_Vol
260,/GDAX124500R0.EX,15/05/2020,19/06/2020,PUT ,12450,2137,25.37
261,/GDAX125000F0.EX,15/05/2020,19/06/2020,CALL,12500,2.2,24.94
262,/GDAX125000R0.EX,15/05/2020,19/06/2020,PUT ,12500,2186.9,25.68
263,/GDAX125500F0.EX,15/05/2020,19/06/2020,CALL,12550,2,25.2
264,/GDAX125500R0.EX,15/05/2020,19/06/2020,PUT ,12550,2236.7,25.97
265,/GDAX126000F0.EX,15/05/2020,19/06/2020,CALL,12600,1.9,25.45
266,/GDAX126000R0.EX,15/05/2020,19/06/2020,PUT ,12600,2286.6,26.25
267,/GDAX126500F0.EX,15/05/2020,19/06/2020,CALL,12650,1.7,25.67
268,/GDAX126500R0.EX,15/05/2020,19/06/2020,PUT ,12650,2336.5,26.5
269,/GDAX127000F0.EX,15/05/2020,19/06/2020,CALL,12700,1.6,25.87
270,/GDAX127000R0.EX,15/05/2020,19/06/2020,PUT ,12700,2386.4,26.85
271,/GDAX127500F0.EX,15/05/2020,19/06/2020,CALL,12750,1.5,26.19
272,/GDAX127500R0.EX,15/05/2020,19/06/2020,PUT ,12750,2436.3,27.19
273,/GDAX128000F0.EX,15/05/2020,19/06/2020,CALL,12800,1.4,26.34
274,/GDAX128000R0.EX,15/05/2020,19/06/2020,PUT ,12800,2486.3,27.51
275,/GDAX128500F0.EX,15/05/2020,19/06/2020,CALL,12850,1.3,26.63
276,/GDAX128500R0.EX,15/05/2020,19/06/2020,PUT ,12850,2536.2,27.83
277,/GDAX129000F0.EX,15/05/2020,19/06/2020,CALL,12900,1.2,26.9
278,/GDAX129000R0.EX,15/05/2020,19/06/2020,PUT ,12900,2586.2,28.14
279,/GDAX129500F0.EX,15/05/2020,19/06/2020,CALL,12950,1.1,27.16
280,/GDAX129500R0.EX,15/05/2020,19/06/2020,PUT ,12950,2636.1,28.43
281,/GDAX130000F0.EX,15/05/2020,19/06/2020,CALL,13000,1,27.4
282,/GDAX130000R0.EX,15/05/2020,19/06/2020,PUT ,13000,2686.1,28.71
283,/GDAX130500F0.EX,15/05/2020,19/06/2020,CALL,13050,1,27.63
284,/GDAX130500R0.EX,15/05/2020,19/06/2020,PUT ,13050,2736.1,29.13
285,/GDAX131000F0.EX,15/05/2020,19/06/2020,CALL,13100,0.9,27.84
286,/GDAX131000R0.EX,15/05/2020,19/06/2020,PUT ,13100,2786,29.4
287,/GDAX131500F0.EX,15/05/2020,19/06/2020,CALL,13150,0.9,28.04
288,/GDAX131500R0.EX,15/05/2020,19/06/2020,PUT ,13150,2836,29.8
